location_id,city,country
44,Mendezfort,Japan
70,Singhtown,Germany
43,East Anamouth,Italy
42,Tanyaport,UK
38,East Matthew,Canada
56,Stevenmouth,Germany
34,South Deniseview,Brazil
25,Brendatown,Germany
90,South Alyssahaven,Italy
12,East Caseyview,Japan
12,West Vincent,Japan
4,Nelsonmouth,Germany
57,Joestad,Australia
24,Hernandezstad,Germany
70,West Matthewtown,France
73,Berryshire,Brazil
33,Casefort,USA
45,South Maria,China
11,Lake Tylerview,Australia
39,Lopezbury,Canada
36,South Jeremy,Canada
32,Chloeburgh,Brazil
25,West Jillberg,China
49,North Mariaburgh,Canada
45,Kennethland,USA
13,Trevorfurt,USA
40,South Michaelmouth,Australia
10,East John,Canada
12,Shawnafort,Australia
92,New Amanda,USA
37,Christopherside,USA
4,Fishershire,China
41,Walkerland,Brazil
35,East Sandyview,France
63,Christopherstad,USA
45,Lake Elizabeth,Brazil
70,Liuchester,Germany
64,West Sean,Australia
22,East Rhonda,UK
91,West Wendyport,UK
47,Cummingsmouth,Canada
29,Port Charles,Japan
71,West Harry,Canada
42,New Jamesberg,Australia
90,South Josephberg,UK
29,Port Veronica,France
76,New Jessica,China
13,Lake Rachelland,Germany
50,Michaelmouth,Japan
19,North Jonathan,Brazil
34,Baileyberg,Italy
58,New Allisonton,Italy
38,New Davidside,Germany
81,Courtneybury,Australia
79,New Jessicaview,China
53,South Amandaside,Canada
78,South Victoria,Germany
65,East Cassidy,USA
29,Lake Katie,Germany
47,North Brandonshire,France
60,Nicoleborough,Japan
85,Port Melissa,Germany
58,East Vickietown,China
24,East Jonathan,Italy
35,Port John,China
1,Greenborough,Germany
23,Bradleyport,USA
93,Thompsonshire,China
45,North Jenniferborough,Brazil
19,Sloanberg,UK
63,New Wayne,Germany
58,Paulhaven,UK
44,Kellerland,USA
63,North Victorburgh,China
70,North Austin,Japan
66,Pittston,USA
25,West Gregory,USA
50,East Katie,France
77,Allenmouth,China
61,Lake Thomas,Brazil
25,Arianamouth,Canada
5,Timothyfurt,Canada
100,Dianaland,Brazil
10,North Joe,Australia
35,South Ryan,France
84,Tateton,UK
8,Beverlyside,Brazil
2,Timothyfurt,UK
87,Lake Danielhaven,Germany
83,West Jennifer,Italy
52,East Vincent,France
57,Amandaside,Canada
73,Buchananbury,USA
55,Robertsmouth,Italy
31,Castanedaville,Japan
48,Thomasbury,France
44,Josephmouth,USA
95,Port Theodorebury,Australia
26,Greenmouth,Japan
87,Noblechester,Australia
